player,position,team,birth_year,minutes_90s,goals,shots,shots_on_target
Julián Álvarez,FW,Argentina,2000,5.2,4,11,8
Jung Woo-young,MF,Korea Republic,1989,3.4,0,1,0
Junior Hoilett,FW,Canada,1990,1.8,0,4,0
Junya Ito,MF,Japan,1993,3.6,0,2,1
Jurriën Timber,DF,Netherlands,2001,4.3,0,0,0
Kai Havertz,FW,Germany,1999,1.1,2,5,3
Kalidou Koulibaly,DF,Senegal,1991,4,1,2,1
Kalvin Phillips,MF,England,1995,0.5,0,0,0
Kamal Miller,DF,Canada,1997,3,0,0,0
Kamaldeen Sulemana,FW,Ghana,2002,0.6,0,1,1
Kamil Glik,DF,Poland,1988,4,0,3,0
Kamil Grosicki,MF,Poland,1988,0,0,0,0
Kaoru Mitoma,MF,Japan,1997,1.8,0,1,1
Karim Ansarifard,FW,IR Iran,1990,0.4,0,1,0
Karim Boudiaf,MF,Qatar,1990,2.1,0,0,0
Karl Toko Ekambi,FW,Cameroon,1992,1.8,0,2,1
Karol Świderski,FW,Poland,1997,0.5,0,0,0
Kasper Dolberg,FW,Denmark,1997,1.3,0,3,1
Kasper Schmeichel,GK,Denmark,1986,3,0,0,0
Keanu Baccus,MF,Australia,1998,1.3,0,1,0
Kellyn Acosta,MF,United States,1995,0.5,0,0,0
Kendall Waston,DF,Costa Rica,1988,2.5,0,1,1
Kenneth Taylor,MF,Netherlands,2002,0.1,0,0,0
Kevin De Bruyne,FW,Belgium,1991,3,0,7,2
Kevin Rodríguez,FW,Ecuador,2000,0,0,2,1
Kevin Álvarez,DF,Mexico,1999,0.8,0,0,0
Keylor Navas,GK,Costa Rica,1986,3,0,0,0
Keysher Fuller,DF,Costa Rica,1994,2.8,1,3,2
Kieffer Moore,FW,Wales,1992,2.5,0,6,2
Kieran Trippier,DF,England,1990,2.3,0,1,0
Kim Jin-su,DF,Korea Republic,1992,3.5,0,4,0
Kim Min-jae,DF,Korea Republic,1996,3,0,2,0
Kim Moonhwan,DF,Korea Republic,1995,4,0,0,0
Kim Seung-gyu,GK,Korea Republic,1990,4,0,0,0
Kim Young-gwon,DF,Korea Republic,1990,3.9,1,2,1
Kingsley Coman,FW,France,1996,1.9,0,1,0
Ko Itakura,DF,Japan,1997,3,0,3,1
Koke,MF,Spain,1992,0.6,0,0,0
Kristijan Jakić,FW,Croatia,1997,0,0,0,0
Krystian Bielik,MF,Poland,1998,2.4,0,2,0
Krzysztof Piątek,FW,Poland,1995,0.3,0,1,0
Krépin Diatta,FW,Senegal,1999,2,0,3,1
Kudus Mohammed,FW,Ghana,2000,2.7,2,8,4
Kwon Chang-hoon,FW,Korea Republic,1994,0.6,0,0,0
Kwon Kyung-won,DF,Korea Republic,1992,1,0,1,0
Kye Rowles,DF,Australia,1998,4,0,0,0
Kyle Walker,DF,England,1990,2.6,0,0,0
Kylian Mbappé,FW,France,1998,6.6,8,29,11
Lautaro Martínez,FW,Argentina,1997,2.7,0,14,4
Lawrence Ati-Zigi,GK,Ghana,1996,3,0,0,0
Leander Dendoncker,DF,Belgium,1995,1.8,0,1,0
Leandro Paredes,MF,Argentina,1994,2.5,0,1,1
Leandro Trossard,FW,Belgium,1994,1.1,0,0,0
Lee Jae-sung,MF,Korea Republic,1992,2.3,0,1,0
Lee Kangin,MF,Korea Republic,2001,1.6,0,5,1
Leon Goretzka,MF,Germany,1995,1.8,0,4,1
Leroy Sané,FW,Germany,1996,1.2,0,3,0
Liam Millar,DF,Canada,1999,0.1,0,0,0
Lionel Messi,FW,Argentina,1987,7.7,7,27,13
Lisandro Martínez,DF,Argentina,1998,3.4,0,1,0
Lovro Majer,MF,Croatia,1998,1.4,1,4,2
Loïs Openda,FW,Belgium,2000,0.1,0,0,0
Lucas Cavallini,FW,Canada,1992,0.2,0,0,0
Lucas Hernández,DF,France,1996,0.1,0,0,0
Lucas Paquetá,MF,Brazil,1997,3.5,1,4,4
Luis Chávez,MF,Mexico,1996,3,1,10,4
Luis Suárez,FW,Uruguay,1987,1.6,0,2,1
Luka Jović,FW,Serbia,1997,0.4,0,2,0
Luka Modrić,MF,Croatia,1985,7.3,0,6,4
Lukas Klostermann,DF,Germany,1996,0.7,0,0,0
Luke Shaw,DF,England,1995,4.7,0,3,1
Luuk de Jong,FW,Netherlands,1990,0.6,0,1,0
Majid Hosseini,DF,IR Iran,1996,3,0,0,0
Manuel Akanji,DF,Switzerland,1995,4,1,4,1
Manuel Neuer,GK,Germany,1986,3,0,0,0
Marcelo Brozović,MF,Croatia,1992,6.1,0,4,2
Marco Asensio,FW,Spain,1996,2.5,1,10,2
Marcos Acuña,DF,Argentina,1991,4.1,0,2,0
Marcos Llorente,DF,Spain,1995,1.3,0,1,0
Marcus Rashford,FW,England,1997,1.6,3,11,6
Marcus Thuram,FW,France,1997,1.7,0,1,0
Mario Götze,MF,Germany,1992,0.4,0,1,1
Mario Pašalić,FW,Croatia,1995,3,0,3,0
Mark-Anthony Kaye,MF,Canada,1994,0.7,0,1,0
Marko Grujić,MF,Serbia,1996,0.1,0,1,1
Marko Livaja,FW,Croatia,1993,2.7,1,6,4
Marquinhos,DF,Brazil,1994,4.7,0,2,0
Marten de Roon,MF,Netherlands,1991,2,0,0,0
Martin Braithwaite,FW,Denmark,1991,1.1,0,1,0
Martin Hongla,MF,Cameroon,1998,1.3,0,1,1
Martinelli,FW,Brazil,2001,1.3,0,4,3
Martín Cáceres,DF,Uruguay,1987,1,0,0,0
Mason Mount,MF,England,1999,2.1,0,4,1
Mateo Kovačić,MF,Croatia,1994,7.1,0,3,1
Matheus Nunes,MF,Portugal,1998,0.8,0,1,0
Mathew Leckie,MF,Australia,1991,3.7,1,1,1
Mathew Ryan,GK,Australia,1992,4,0,0,0
Mathias Jensen,MF,Denmark,1996,0.9,0,2,1
Mathías Olivera,DF,Uruguay,1997,2.8,0,2,0
Matt Turner,GK,United States,1994,4,0,0,0
Matthias Ginter,DF,Germany,1994,0,0,0,0
Matthijs de Ligt,DF,Netherlands,1999,1,0,0,0
Matty Cash,DF,Poland,1997,4,0,1,0
Mattéo Guendouzi,FW,France,1999,0.9,0,0,0
Matías Vecino,MF,Uruguay,1991,2.2,0,1,1
Matías Viña,DF,Uruguay,1997,0.2,0,0,0
Maxi Gómez,FW,Uruguay,1996,0.3,0,2,1
Maya Yoshida,DF,Japan,1988,4.3,0,0,0
Mehdi Taremi,FW,IR Iran,1992,3,2,5,1
Mehdi Torabi,MF,IR Iran,1994,0.7,0,2,0
Memphis,FW,Netherlands,1994,3.3,1,10,5
Meshaal Barsham,GK,Qatar,1998,2,0,0,0
Michael Estrada,FW,Ecuador,1996,2.5,0,3,0
Michał Skóraś,MF,Poland,2000,0.5,0,1,0
Michel Aebischer,MF,Switzerland,1997,0.2,0,0,0
Michy Batshuayi,FW,Belgium,1993,1.7,1,6,2
Miki Yamane,DF,Japan,1993,0.7,0,0,0
Mikkel Damsgaard,MF,Denmark,2000,1.7,0,0,0
Milad Mohammadi,DF,IR Iran,1993,2.2,0,0,0
Milan Borjan,GK,Canada,1987,3,0,0,0
Miloš Degenek,DF,Australia,1994,2,0,0,0
Miloš Veljković,DF,Serbia,1995,2.5,0,0,0
Mislav Oršić,FW,Croatia,1992,1.8,1,9,2
Mitchell Duke,FW,Australia,1991,3,1,7,4
Mohamed Ali Ben Romdhane,MF,Tunisia,1999,0.8,0,0,0
Mohamed Dräger,DF,Tunisia,1996,1.5,0,4,0
Mohamed Kanno,MF,Saudi Arabia,1994,3,0,6,1
Mohammed Al-Breik,DF,Saudi Arabia,1992,0.7,0,2,1
Mohammed Al-Owais,GK,Saudi Arabia,1991,3,0,0,0
Mohammed Muntari,FW,Qatar,1993,0.7,1,3,1
Mohammed Salisu,DF,Ghana,1999,3,1,2,1
Mohammed Waad,MF,Qatar,1999,0.3,0,0,0
Moisés Caicedo,MF,Ecuador,2001,3,1,3,1
Montassar Talbi,DF,Tunisia,1998,3,0,1,1
Morteza Pouraliganji,DF,IR Iran,1992,3,0,2,0
